Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): D:/ashish/arpit_syn/dat files/syn8.dat
 2.197590e+000  8.708960e+002 -1.000000e+000
 2.203980e+000  4.547050e+002 -1.000000e+000
 2.210370e+000  5.061040e+002 -1.000000e+000
 2.216760e+000  5.684990e+002 -1.000000e+000
 2.223150e+000  6.493560e+002  3.298750e+002
 2.229540e+000  5.244510e+002 -1.000000e+000
 2.235930e+000  8.398280e+002 -1.000000e+000
 2.242320e+000  8.835690e+002 -1.000000e+000
 2.248710e+000  4.564300e+002 -1.000000e+000
 2.255100e+000  4.515350e+002 -1.000000e+000
 2.261490e+000  3.876920e+002 -1.000000e+000
 2.267880e+000  3.971400e+002 -1.000000e+000
 2.274270e+000  3.938810e+002 -1.000000e+000
 2.280660e+000  3.581340e+002 -1.000000e+000
 2.287050e+000  5.166720e+002 -1.000000e+000
 2.293440e+000  5.601610e+002 -1.000000e+000
 2.299830e+000  5.793800e+002 -1.000000e+000
 2.306220e+000  4.762660e+002  4.594900e+002
 2.312610e+000  4.774800e+002 -1.000000e+000
 2.319000e+000  7.413070e+002  8.170390e+002
 2.325390e+000  6.264960e+002 -1.000000e+000
 2.331780e+000  5.016790e+002 -1.000000e+000
 2.338170e+000  5.767340e+002 -1.000000e+000
 2.344560e+000  6.207860e+002  4.536300e+002
 2.350950e+000  4.872860e+002 -1.000000e+000
 2.357340e+000  6.822920e+002 -1.000000e+000
 2.363730e+000  4.081730e+002 -1.000000e+000
 2.370120e+000  3.444330e+002 -1.000000e+000
 2.376510e+000  2.934890e+002 -1.000000e+000
 2.382900e+000  2.774160e+002 -1.000000e+000
 2.389290e+000  4.576380e+002 -1.000000e+000
 2.395680e+000  7.157540e+002 -1.000000e+000
 2.402070e+000  6.311470e+002 -1.000000e+000
 2.408460e+000  3.636160e+002 -1.000000e+000
 2.414850e+000  3.069780e+002  2.894280e+002
 2.421230e+000  3.885870e+002  3.454910e+002
 2.427620e+000  4.632410e+002 -1.000000e+000
 2.434010e+000  5.413060e+002  1.061100e+002
 2.440400e+000  3.800910e+002 -1.000000e+000
 2.446790e+000  3.078910e+002 -1.000000e+000
 2.453180e+000  4.074270e+002  1.346550e+002
 2.459570e+000  5.724710e+002 -1.000000e+000
 2.465960e+000  4.292970e+002  4.427840e+002
 2.472350e+000  2.785690e+002 -1.000000e+000
 2.478740e+000  4.863910e+002  5.904360e+002
 2.485130e+000  6.729100e+002 -1.000000e+000
 2.491520e+000  4.115980e+002 -1.000000e+000
 2.497910e+000  4.642830e+002 -1.000000e+000
 2.504300e+000  5.106890e+002  2.181870e+002
 2.510690e+000  4.708490e+002 -1.000000e+000
 2.517080e+000  4.643390e+002  2.695350e+002
 2.523470e+000  5.258980e+002 -1.000000e+000
 2.529860e+000  4.070110e+002 -1.000000e+000
 2.536250e+000  4.555510e+002  3.678420e+002
 2.542640e+000  5.243350e+002 -1.000000e+000
 2.549020e+000  3.758150e+002 -1.000000e+000
 2.555410e+000  4.490360e+002  1.750820e+002
 2.561800e+000  3.487770e+002 -1.000000e+000
 2.568190e+000  2.966220e+002 -1.000000e+000
 2.574580e+000  3.182050e+002  2.412480e+002
 2.580970e+000  3.427770e+002 -1.000000e+000
 2.587360e+000  6.100960e+002 -1.000000e+000
 2.593750e+000  6.265990e+002 -1.000000e+000
 2.600140e+000  4.639290e+002 -1.000000e+000
 2.606530e+000  7.094190e+002 -1.000000e+000
 2.612920e+000  4.929320e+002 -1.000000e+000
 2.619310e+000  2.825980e+002 -1.000000e+000
 2.625700e+000  3.158000e+002 -1.000000e+000
 2.632090e+000  5.520220e+002  3.242160e+002
 2.638470e+000  3.423770e+002 -1.000000e+000
 2.644860e+000  2.232000e+002 -1.000000e+000
 2.651250e+000  3.100470e+002 -1.000000e+000
 2.657640e+000  3.542610e+002 -1.000000e+000
 2.664030e+000  3.876260e+002 -1.000000e+000
 2.670420e+000  5.076450e+002 -1.000000e+000
 2.676810e+000  2.817160e+002 -1.000000e+000
 2.683200e+000  5.486530e+002 -1.000000e+000
 2.689590e+000  5.836440e+002 -1.000000e+000
 2.695980e+000  4.861880e+002 -1.000000e+000
 2.702360e+000  5.089400e+002 -1.000000e+000
 2.708750e+000  1.690910e+002 -1.000000e+000
 2.715140e+000  3.450920e+002 -1.000000e+000
 2.721530e+000  6.077190e+002 -1.000000e+000
 2.727920e+000  8.008130e+002 -1.000000e+000
 2.734310e+000  5.939900e+002 -1.000000e+000
 2.740700e+000  2.456750e+002 -1.000000e+000
 2.747090e+000  2.295980e+002 -1.000000e+000
 2.753480e+000  2.200950e+002 -1.000000e+000
 2.759870e+000  3.286650e+002 -1.000000e+000
 2.766250e+000  3.809350e+002 -1.000000e+000
 2.772640e+000  7.191890e+002 -1.000000e+000
 2.779030e+000  1.816060e+002 -1.000000e+000
 2.785420e+000  2.953760e+002 -1.000000e+000
 2.791810e+000  2.161780e+002 -1.000000e+000
 2.798200e+000  2.432090e+002 -1.000000e+000
 2.804590e+000  2.810100e+002  2.588760e+002
 2.810980e+000  4.001520e+002 -1.000000e+000
 2.817360e+000  3.432420e+002 -1.000000e+000
 2.823750e+000  4.367560e+002 -1.000000e+000
 2.830140e+000  3.599280e+002 -1.000000e+000
 2.836530e+000  3.432390e+002 -1.000000e+000
 2.842920e+000  3.040500e+002 -1.000000e+000
 2.849310e+000  2.290680e+002 -1.000000e+000
 2.855700e+000  7.718380e+001 -1.000000e+000
 2.862080e+000  2.272960e+002 -1.000000e+000
 2.868470e+000  9.828740e+001 -1.000000e+000
 2.874860e+000  4.962290e+002 -1.000000e+000
 2.881250e+000  4.856050e+002  5.747410e+002
 2.887640e+000  4.623770e+002 -1.000000e+000
 2.894030e+000  1.658150e+002 -1.000000e+000
 2.900420e+000  2.295410e+002 -1.000000e+000
 2.906800e+000  9.371640e+001  8.535510e+001
 2.913190e+000  9.308410e+001 -1.000000e+000
 2.919580e+000  1.696640e+002 -1.000000e+000
 2.925970e+000  1.818680e+002 -1.000000e+000
 2.932360e+000  5.870250e+002 -1.000000e+000
 2.938740e+000  1.352210e+002 -1.000000e+000
 2.945130e+000  2.322660e+002 -1.000000e+000
 2.951520e+000  2.931980e+002 -1.000000e+000
 2.957910e+000  3.138810e+002 -1.000000e+000
 2.964300e+000  3.374230e+002 -1.000000e+000
 2.970690e+000  4.890680e+002 -1.000000e+000
 2.977080e+000  5.331240e+002 -1.000000e+000
 2.983460e+000  2.363470e+002 -1.000000e+000
 2.989850e+000  3.823520e+002 -1.000000e+000
 2.996240e+000  2.239030e+002  1.538670e+002
 3.002630e+000  9.398510e+001 -1.000000e+000
